iter	RMSE
0	12.52376293
1	10.78771558
2	9.502170315
3	8.650213996
4	7.994700467
5	7.410105729
6	6.953082914
7	6.56977399
8	6.338390368
9	6.118102606
10	5.973452405
11	5.863348599
12	5.786196586
13	5.703862046
14	5.646016368
15	5.601894805
16	5.554988153
17	5.519619236
18	5.480273783
19	5.458662123
20	5.445571619
21	5.413306642
22	5.390863003
23	5.373699459
24	5.357329308
25	5.347016863
26	5.319135658
27	5.287513324
28	5.261960178
29	5.256397792
30	5.229876673
31	5.217097369
32	5.202884523
33	5.176782436
34	5.169279554
35	5.15834626
36	5.154644794
37	5.138706748
38	5.123279984
39	5.097877492
40	5.075305481
41	5.046140028
42	5.043981478
43	5.031900112
44	5.015904081
45	5.010627566
46	5.004856413
47	4.995908085
48	4.980110504
49	4.961485162
50	4.950080312
51	4.943012984
52	4.942270481
53	4.928231794
54	4.917759445
55	4.907479287
56	4.905824131
57	4.89751322
58	4.892687245
59	4.882931483
60	4.865536767
61	4.85231501
62	4.850640894
63	4.832156077
64	4.820138054
65	4.816152617
66	4.80065954
67	4.794303234
68	4.79018125
69	4.774964704
70	4.769515411
71	4.762001153
72	4.747976655
73	4.735540458
74	4.723086995
75	4.719664401
76	4.713111425
77	4.70137352
78	4.695886234
79	4.692691669
80	4.683104661
81	4.672870576
82	4.662107712
83	4.654574531
84	4.641030105
85	4.629497104
86	4.628492545
87	4.612647808
88	4.606272488
89	4.591694189
90	4.588306076
91	4.583458566
92	4.575503365
93	4.570844333
94	4.567082343
95	4.559392993
96	4.548595747
97	4.545802218
98	4.52747046
99	4.514443727
