iter	Passed	Remaining
0	147	147239
1	149	74768
2	152	50525
3	154	38384
4	155	31004
5	158	26176
6	160	22746
7	162	20142
8	164	18098
9	166	16523
10	168	15177
11	171	14091
12	173	13170
13	175	12357
14	177	11627
15	179	11021
16	181	10489
17	183	10010
18	185	9571
19	186	9157
20	188	8792
21	190	8470
22	192	8187
23	194	7917
24	196	7675
25	198	7434
26	200	7230
27	202	7025
28	204	6852
29	206	6686
30	209	6535
31	211	6389
32	213	6253
33	215	6135
34	218	6019
35	220	5902
36	222	5790
37	224	5689
38	226	5576
39	228	5482
40	230	5389
41	232	5304
42	234	5222
43	236	5147
44	237	5045
45	238	4952
46	239	4865
47	241	4796
48	243	4734
49	245	4664
50	247	4605
51	249	4547
52	251	4485
53	253	4439
54	255	4384
55	257	4337
56	259	4289
57	261	4246
58	263	4205
59	264	4143
60	265	4092
61	267	4052
62	269	4004
63	269	3948
64	271	3911
65	274	3880
66	276	3847
67	278	3812
68	280	3780
69	282	3751
70	283	3703
71	285	3674
72	287	3646
73	289	3624
74	291	3597
75	293	3568
76	295	3543
77	297	3520
78	299	3487
79	301	3465
80	303	3445
81	305	3422
82	307	3402
83	310	3384
84	313	3373
85	316	3361
86	317	3335
87	319	3315
88	322	3297
89	324	3278
90	326	3259
91	328	3242
92	330	3224
93	332	3205
94	334	3186
95	335	3162
96	337	3146
97	340	3131
98	342	3116
99	344	3101
100	346	3087
101	348	3064
102	348	3037
103	349	3011
104	350	2986
105	351	2963
106	352	2944
107	353	2923
108	355	2902
109	356	2883
110	357	2864
111	359	2852
112	361	2835
113	363	2825
114	365	2814
115	367	2800
116	369	2789
117	371	2780
118	373	2764
119	375	2752
120	376	2738
121	379	2728
122	381	2718
123	383	2708
124	385	2698
125	386	2682
126	388	2673
127	390	2657
128	392	2648
129	394	2640
130	396	2631
131	398	2623
132	401	2614
133	403	2605
134	404	2591
135	405	2573
136	405	2557
137	407	2546
138	409	2533
139	410	2520
140	411	2508
141	413	2497
142	414	2485
143	415	2471
144	417	2459
145	417	2444
146	419	2432
147	421	2425
148	423	2417
149	424	2403
150	426	2395
151	428	2388
152	429	2379
153	432	2376
154	435	2374
155	437	2368
156	440	2365
157	442	2359
158	444	2351
159	445	2340
160	447	2333
161	450	2327
162	452	2321
163	454	2317
164	456	2310
165	459	2306
166	461	2302
167	464	2298
168	466	2293
169	468	2288
170	470	2283
171	472	2274
172	473	2264
173	475	2258
174	476	2248
175	479	2244
176	481	2237
177	483	2232
178	485	2226
179	486	2215
180	487	2204
181	489	2198
182	491	2193
183	493	2188
184	495	2184
185	497	2177
186	499	2172
187	500	2163
188	501	2152
189	503	2147
190	506	2143
191	508	2138
192	510	2134
193	512	2128
194	514	2123
195	516	2117
196	518	2112
197	519	2103
198	521	2098
199	523	2093
200	525	2088
201	527	2085
202	528	2076
203	530	2071
204	533	2068
205	535	2063
206	537	2058
207	539	2054
208	541	2049
209	542	2041
210	544	2035
211	546	2031
212	548	2026
213	550	2021
214	552	2016
215	554	2012
216	556	2007
217	557	2000
218	558	1992
219	560	1988
220	563	1985
221	565	1981
222	567	1975
223	569	1971
224	570	1966
225	572	1961
226	574	1957
227	576	1950
228	578	1946
229	580	1942
230	582	1938
231	584	1933
232	585	1926
233	587	1921
234	589	1917
235	591	1913
236	593	1910
237	595	1905
238	596	1900
239	598	1896
240	599	1888
241	600	1882
242	602	1875
243	604	1872
244	606	1869
245	608	1866
246	610	1861
247	612	1856
248	613	1850
249	615	1847
250	617	1843
251	619	1839
252	621	1836
253	623	1830
254	625	1827
255	626	1821
256	628	1817
257	630	1814
258	632	1810
259	635	1807
260	637	1803
261	639	1800
262	640	1795
263	642	1790
264	643	1785
265	645	1781
266	647	1777
267	649	1774
268	651	1770
269	652	1764
270	653	1758
271	654	1752
272	655	1746
273	657	1743
274	659	1739
275	661	1735
276	663	1732
277	665	1728
278	667	1725
279	669	1721
280	670	1716
281	673	1713
282	675	1710
283	677	1706
284	679	1703
285	681	1700
286	682	1695
287	684	1692
288	685	1687
289	688	1684
290	690	1681
291	692	1678
292	694	1674
293	695	1670
294	697	1668
295	699	1664
296	700	1658
297	702	1655
298	704	1652
299	706	1648
300	708	1645
301	709	1640
302	711	1637
303	714	1634
304	715	1629
305	716	1625
306	718	1622
307	721	1620
308	723	1616
309	724	1613
310	726	1610
311	729	1607
312	730	1604
313	732	1600
314	734	1597
315	736	1594
316	738	1590
317	740	1588
318	742	1585
319	744	1582
320	747	1580
321	748	1576
322	749	1571
323	751	1568
324	753	1564
325	754	1560
326	757	1558
327	759	1555
328	761	1552
329	763	1550
330	764	1545
331	766	1541
332	768	1539
333	770	1536
334	772	1533
335	774	1530
336	776	1527
337	778	1524
338	779	1520
339	780	1515
340	783	1513
341	784	1510
342	787	1507
343	789	1505
344	791	1502
345	793	1499
346	794	1495
347	796	1492
348	799	1490
349	801	1487
350	803	1485
351	805	1483
352	807	1479
353	809	1477
354	811	1473
355	812	1469
356	814	1466
357	816	1464
358	818	1461
359	820	1458
360	822	1455
361	824	1452
362	825	1448
363	827	1445
364	829	1442
365	831	1440
366	833	1437
367	835	1435
368	837	1431
369	839	1429
370	840	1425
371	842	1422
372	844	1419
373	846	1417
374	848	1414
375	850	1410
376	851	1407
377	853	1403
378	854	1399
379	855	1396
380	857	1392
381	858	1389
382	860	1385
383	861	1381
384	862	1376
385	862	1372
386	863	1368
387	864	1364
388	865	1359
389	867	1356
390	868	1351
391	869	1349
392	871	1346
393	873	1343
394	874	1338
395	875	1335
396	876	1330
397	876	1326
398	877	1322
399	879	1319
400	882	1317
401	884	1315
402	886	1312
403	887	1308
404	889	1306
405	891	1303
406	893	1301
407	895	1299
408	897	1297
409	900	1295
410	902	1293
411	904	1290
412	906	1287
413	908	1286
414	910	1283
415	913	1281
416	915	1279
417	917	1277
418	919	1275
419	921	1272
420	922	1269
421	925	1267
422	927	1265
423	929	1263
424	931	1260
425	933	1257
426	935	1255
427	937	1252
428	939	1250
429	941	1247
430	943	1245
431	945	1242
432	947	1240
433	949	1238
434	951	1236
435	953	1233
436	955	1231
437	957	1228
438	959	1226
439	961	1224
440	964	1222
441	966	1220
442	969	1218
443	971	1216
444	974	1215
445	975	1212
446	977	1209
447	978	1205
448	979	1201
449	980	1198
450	982	1195
451	983	1192
452	984	1189
453	985	1185
454	987	1183
455	989	1180
456	991	1178
457	993	1176
458	996	1174
459	998	1171
460	1000	1169
461	1002	1166
462	1003	1164
463	1005	1161
464	1007	1159
465	1009	1157
466	1011	1154
467	1013	1152
468	1016	1150
469	1018	1148
470	1019	1144
471	1021	1142
472	1023	1140
473	1025	1138
474	1027	1135
475	1029	1133
476	1031	1131
477	1033	1128
478	1034	1125
479	1036	1123
480	1039	1121
481	1041	1119
482	1043	1117
483	1045	1114
484	1047	1112
485	1049	1110
486	1051	1107
487	1053	1105
488	1055	1103
489	1057	1100
490	1059	1098
491	1060	1094
492	1061	1091
493	1062	1088
494	1064	1085
495	1066	1083
496	1068	1081
497	1070	1078
498	1072	1076
499	1074	1074
500	1075	1071
501	1076	1068
502	1078	1065
503	1080	1063
504	1082	1061
505	1084	1058
506	1086	1056
507	1088	1053
508	1089	1050
509	1090	1048
510	1093	1045
511	1094	1043
512	1096	1041
513	1099	1039
514	1100	1036
515	1102	1033
516	1103	1030
517	1104	1027
518	1105	1024
519	1107	1022
520	1109	1020
521	1111	1017
522	1113	1015
523	1115	1013
524	1117	1011
525	1120	1009
526	1121	1006
527	1123	1004
528	1125	1002
529	1127	999
530	1129	997
531	1131	995
532	1133	992
533	1134	989
534	1136	987
535	1138	985
536	1140	983
537	1142	981
538	1144	978
539	1146	976
540	1148	974
541	1150	971
542	1151	969
543	1153	966
544	1155	964
545	1157	962
546	1158	959
547	1160	956
548	1162	954
549	1164	952
550	1165	950
551	1167	947
552	1169	945
553	1171	943
554	1174	941
555	1176	939
556	1178	937
557	1180	934
558	1181	932
559	1183	929
560	1185	927
561	1187	925
562	1189	923
563	1191	921
564	1193	919
565	1196	917
566	1197	914
567	1199	912
568	1201	909
569	1203	907
570	1205	905
571	1207	903
572	1209	901
573	1211	899
574	1213	897
575	1215	894
576	1217	892
577	1219	890
578	1221	888
579	1223	886
580	1225	883
581	1227	881
582	1228	879
583	1229	876
584	1230	873
585	1232	870
586	1234	868
587	1235	866
588	1238	864
589	1240	861
590	1242	859
591	1244	857
592	1245	855
593	1247	852
594	1249	850
595	1251	848
596	1253	846
597	1256	844
598	1257	841
599	1259	839
600	1261	837
601	1263	835
602	1265	833
603	1267	830
604	1269	828
605	1271	826
606	1273	824
607	1275	822
608	1277	820
609	1279	818
610	1281	816
611	1283	813
612	1285	811
613	1287	809
614	1289	807
615	1291	805
616	1293	803
617	1295	800
618	1297	798
619	1298	796
620	1300	793
621	1303	791
622	1304	789
623	1306	787
624	1308	785
625	1309	782
626	1310	779
627	1312	777
628	1312	774
629	1314	772
630	1316	770
631	1319	768
632	1320	765
633	1323	763
634	1324	761
635	1326	759
636	1328	756
637	1330	754
638	1332	752
639	1334	750
640	1336	748
641	1338	746
642	1340	744
643	1341	741
644	1343	739
645	1346	737
646	1349	736
647	1352	734
648	1354	732
649	1355	729
650	1356	727
651	1357	724
652	1358	722
653	1360	719
654	1362	717
655	1364	715
656	1366	713
657	1367	710
658	1370	709
659	1372	707
660	1374	705
661	1376	702
662	1378	700
663	1381	698
664	1383	696
665	1384	694
666	1386	692
667	1387	689
668	1389	687
669	1391	685
670	1392	682
671	1394	680
672	1396	678
673	1398	676
674	1399	674
675	1402	671
676	1404	669
677	1406	667
678	1408	665
679	1410	663
680	1413	661
681	1415	659
682	1416	657
683	1418	655
684	1420	653
685	1423	651
686	1424	649
687	1426	647
688	1428	644
689	1431	642
690	1433	640
691	1434	638
692	1436	636
693	1439	634
694	1440	632
695	1442	630
696	1444	628
697	1446	626
698	1448	623
699	1450	621
700	1452	619
701	1453	617
702	1454	614
703	1457	612
